time	V(vout)
Step Information: Run=0  (Run: 1/129)
2.322370375637014e+000	3.105306e+000
2.332870375636990e+000	3.104853e+000
2.355170375636938e+000	3.101999e+000
2.360770375636925e+000	3.096686e+000
2.360870375636925e+000	3.095841e+000
2.360882875636925e+000	3.095654e+000
2.360907875636926e+000	3.095107e+000
2.360951625636922e+000	3.088335e+000
2.360955336574424e+000	3.079960e+000
2.360956508449426e+000	3.064898e+000
2.360956633443067e+000	3.060659e+000
2.360956883430347e+000	3.046065e+000
2.360956927651056e+000	3.041492e+000
2.360957016092478e+000	3.026196e+000
2.360957077360627e+000	3.007754e+000
2.360957135166949e+000	2.973936e+000
2.360957180874287e+000	2.918225e+000
2.360957224579181e+000	2.811397e+000
2.360957274071801e+000	2.611977e+000
2.360957334406095e+000	2.294730e+000
2.360957401856030e+000	1.902354e+000
2.360957470365637e+000	1.474428e+000
2.360957580093203e+000	7.414010e-001
2.360957643245978e+000	3.172294e-001
2.360957673621158e+000	1.277811e-001
2.360957690622019e+000	3.529638e-002
2.360957691176790e+000	3.343179e-002
2.360957691810810e+000	3.136348e-002
2.360957693078852e+000	2.758510e-002
2.360957695614939e+000	2.151435e-002
2.360957700687113e+000	1.274087e-002
2.360957703524441e+000	9.496703e-003
2.360957706441436e+000	7.461119e-003
2.360957709900770e+000	5.865376e-003
2.360957714264270e+000	4.549725e-003
2.360957718576735e+000	3.716832e-003
2.360957724914695e+000	2.953194e-003
